mine_id,period,coal_production_t,diesel_consumption_l,electricity_consumption_kwh,renewable_electricity_share,transport_activity_tkm,commute_activity_pkm,fugitive_methane_t,provenance
PM001,2025-01,103990.8,693272.0,1299885.0,0.05,433295.0,173318.0,3.466,synthetic_prototype
PM001,2025-02,93990.9,626606.0,1174886.3,0.05,391628.8,156651.5,3.133,synthetic_prototype
PM001,2025-03,98060.1,653733.8,1225750.8,0.05,408583.6,163433.4,3.269,synthetic_prototype
PM001,2025-04,97216.7,648111.3,1215208.7,0.05,405069.6,162027.8,3.241,synthetic_prototype
PM001,2025-05,105570.2,703801.6,1319628.0,0.05,439876.0,175950.4,3.519,synthetic_prototype
PM001,2025-06,104597.4,697316.2,1307467.8,0.05,435822.6,174329.0,3.487,synthetic_prototype
PM001,2025-07,108104.5,720696.4,1351305.8,0.05,450435.3,180174.1,3.603,synthetic_prototype
PM001,2025-08,94998.8,633325.4,1187485.1,0.05,395828.4,158331.3,3.167,synthetic_prototype
PM001,2025-09,100450.8,669672.0,1255635.1,0.05,418545.0,167418.0,3.348,synthetic_prototype
PM001,2025-10,94068.8,627125.3,1175860.0,0.05,391953.3,156781.3,3.136,synthetic_prototype
PM001,2025-11,97142.3,647615.1,1214278.4,0.05,404759.5,161903.8,3.238,synthetic_prototype
PM001,2025-12,101808.7,678724.8,1272609.0,0.05,424203.0,169681.2,3.394,synthetic_prototype
PM002,2025-01,50708.6,405669.2,764530.4,0.03,163827.9,101417.3,5.071,synthetic_prototype
PM002,2025-02,52221.2,417769.4,787334.7,0.03,168714.6,104442.4,5.222,synthetic_prototype
PM002,2025-03,56180.6,449445.1,847031.2,0.03,181506.7,112361.3,5.618,synthetic_prototype
PM002,2025-04,55259.4,442075.3,833141.9,0.03,178530.4,110518.8,5.526,synthetic_prototype
PM002,2025-05,52410.8,419286.5,790193.9,0.03,169327.3,104821.6,5.241,synthetic_prototype
PM002,2025-06,55648.5,445188.0,839008.2,0.03,179787.5,111297.0,5.565,synthetic_prototype
PM002,2025-07,57581.2,460649.6,868147.3,0.03,186031.6,115162.4,5.758,synthetic_prototype
PM002,2025-08,50532.8,404262.0,761878.4,0.03,163259.7,101065.5,5.053,synthetic_prototype
PM002,2025-09,57549.5,460396.0,867669.3,0.03,185929.1,115099.0,5.755,synthetic_prototype
PM002,2025-10,56604.2,452833.9,853417.8,0.03,182875.2,113208.5,5.66,synthetic_prototype
PM002,2025-11,53462.6,427700.4,806050.8,0.03,172725.2,106925.1,5.346,synthetic_prototype
PM002,2025-12,51840.6,414724.5,781596.2,0.03,167484.9,103681.1,5.184,synthetic_prototype
PM003,2025-01,79520.4,538971.4,989586.8,0.08,300410.3,141369.5,1.59,synthetic_prototype
PM003,2025-02,72162.3,489100.3,898020.3,0.08,272613.3,128288.6,1.443,synthetic_prototype
PM003,2025-03,69271.3,469505.4,862042.7,0.08,261691.5,123149.0,1.385,synthetic_prototype
PM003,2025-04,69318.4,469824.4,862628.5,0.08,261869.4,123232.6,1.386,synthetic_prototype
PM003,2025-05,78219.5,530154.7,973398.8,0.08,295496.1,139057.0,1.564,synthetic_prototype
PM003,2025-06,75329.4,510566.2,937433.0,0.08,284577.9,133919.0,1.507,synthetic_prototype
PM003,2025-07,77741.0,526911.0,967443.1,0.08,293688.1,138206.2,1.555,synthetic_prototype
PM003,2025-08,76823.4,520691.6,956024.0,0.08,290221.6,136574.9,1.536,synthetic_prototype
PM003,2025-09,74529.2,505142.3,927474.3,0.08,281554.7,132496.3,1.491,synthetic_prototype
PM003,2025-10,79708.9,540249.2,991933.0,0.08,301122.5,141704.7,1.594,synthetic_prototype
PM003,2025-11,72659.6,492470.5,904208.1,0.08,274491.7,129172.6,1.453,synthetic_prototype
PM003,2025-12,74716.7,506412.9,929807.3,0.08,282262.9,132829.6,1.494,synthetic_prototype
